,categoria_produto,data_compra,produto_nome
224,esporte e lazer,2022/08/01,Corda de pular
225,brinquedos,2022/08/01,Dinossauro Rex
226,brinquedos,2020/09/01,Dinossauro Rex
227,gadgets,2020/09/01,Assistente virtual
228,moveis,2020/09/01,Cadeira de escritório
229,brinquedos,2020/09/01,Xadrez de madeira
230,instrumentos musicais,2020/09/01,Bateria
231,brinquedos,2020/09/01,Xadrez de madeira
232,gadgets,2020/09/01,Smart TV
233,eletrodomesticos,2020/09/01,Fogão
234,gadgets,2020/09/01,Impressora
235,esporte e lazer,2020/09/01,Copo térmico
236,moveis,2020/09/01,Sofá retrátil
237,gadgets,2021/09/01,Assistente virtual
238,gadgets,2021/09/01,Celular ABXY
239,brinquedos,2021/09/01,Cubo mágico 8x8
240,moveis,2021/09/01,Poltrona
241,esporte e lazer,2021/09/01,Bicicleta
242,brinquedos,2021/09/01,Jogo de tabuleiro
243,gadgets,2021/09/01,TV Led UHD 4K
244,gadgets,2021/09/01,Tablet ABXY
245,gadgets,2022/09/01,Impressora
246,gadgets,2022/09/01,Celular ABXY
247,esporte e lazer,2022/09/01,Mochila
248,eletrodomesticos,2022/09/01,Secadora de roupas
249,eletrodomesticos,2022/09/01,Lavadora de roupas
250,esporte e lazer,2020/10/01,Bicicleta
251,eletrodomesticos,2020/10/01,Micro-ondas
252,instrumentos musicais,2021/10/01,Guitarra
253,eletrodomesticos,2021/10/01,Lavadora de roupas
254,brinquedos,2021/10/01,Jogo de tabuleiro
255,moveis,2021/10/01,Poltrona
256,instrumentos musicais,2021/10/01,Pandeiro
257,brinquedos,2021/10/01,Cubo mágico 8x8
258,instrumentos musicais,2021/10/01,Bateria
259,livros,2021/10/01,Ciência de dados com python
260,brinquedos,2021/10/01,Blocos de montar
261,esporte e lazer,2022/10/01,Bola de vôlei
262,gadgets,2022/10/01,Headset
263,instrumentos musicais,2022/10/01,Pandeiro
264,eletrodomesticos,2022/10/01,Micro-ondas
265,moveis,2022/10/01,Cômoda
266,instrumentos musicais,2022/10/01,Pandeiro
267,instrumentos musicais,2022/10/01,Guitarra
268,brinquedos,2022/10/01,Cubo mágico 8x8
269,brinquedos,2022/10/01,Xadrez de madeira
270,esporte e lazer,2022/10/01,Bola de basquete
271,livros,2022/10/01,Ciência de dados com python
272,moveis,2022/10/01,Poltrona
273,livros,2022/10/01,Dashboards com Power BI
274,brinquedos,2022/10/01,Boneca bebê
275,eletrodomesticos,2020/11/01,Lava louças
276,livros,2020/11/01,Iniciando em programação
277,instrumentos musicais,2020/11/01,Pandeiro
278,esporte e lazer,2020/11/01,Copo térmico
279,livros,2020/11/01,Iniciando em programação
280,livros,2020/11/01,Iniciando em programação
281,moveis,2020/11/01,Cômoda
282,livros,2021/11/01,Iniciando em programação
283,instrumentos musicais,2021/11/01,Pandeiro
284,gadgets,2021/11/01,Smartwatch
285,utilidades domesticas,2021/11/01,Jogo de panelas
286,gadgets,2022/11/01,Smart TV
287,livros,2022/11/01,Iniciando em programação
288,eletrodomesticos,2022/11/01,Fogão
289,gadgets,2022/11/01,Impressora
290,utilidades domesticas,2022/11/01,Jogo de panelas
291,livros,2022/11/01,Dashboards com Power BI
292,brinquedos,2022/11/01,Jogo de tabuleiro
293,brinquedos,2022/11/01,Xadrez de madeira
294,moveis,2022/11/01,Cadeira de escritório
295,brinquedos,2022/11/01,Carrinho controle remoto
296,gadgets,2022/11/01,Smartwatch
297,moveis,2020/12/01,Sofá retrátil
298,gadgets,2020/12/01,Tablet ABXY
299,utilidades domesticas,2020/12/01,Jogo de copos
300,moveis,2020/12/01,Mesa de centro
301,eletrodomesticos,2020/12/01,Geladeira
302,eletrodomesticos,2020/12/01,Lava louças
303,brinquedos,2020/12/01,Blocos de montar
304,livros,2021/12/01,Ciência de dados com python
305,instrumentos musicais,2021/12/01,Pandeiro
306,moveis,2021/12/01,Cômoda
307,utilidades domesticas,2021/12/01,Jogo de panelas
308,esporte e lazer,2021/12/01,Bola de vôlei
309,gadgets,2021/12/01,Fone de ouvido
310,eletrodomesticos,2021/12/01,Lava louças
311,gadgets,2021/12/01,Tablet ABXY
312,brinquedos,2021/12/01,Blocos de montar
313,eletrodomesticos,2021/12/01,Lavadora de roupas
314,esporte e lazer,2021/12/01,Corda de pular
315,moveis,2022/12/01,Mesa de jantar
316,livros,2022/12/01,Modelagem preditiva
317,moveis,2022/12/01,Mesa de centro
318,brinquedos,2022/12/01,Dinossauro Rex
319,gadgets,2022/12/01,Assistente virtual
320,gadgets,2022/12/01,Celular Plus X42
321,brinquedos,2022/12/01,Xadrez de madeira
322,moveis,2022/12/01,Cama box
323,eletrodomesticos,2022/12/01,Secadora de roupas
324,gadgets,2022/12/01,Fone de ouvido
325,brinquedos,2022/12/01,Blocos de montar
326,instrumentos musicais,2022/12/01,Guitarra
327,esporte e lazer,2022/12/01,Copo térmico
328,instrumentos musicais,2022/12/01,Bateria
329,livros,2020/01/02,Dashboards com Power BI
330,utilidades domesticas,2020/01/02,Faqueiro
331,moveis,2020/01/02,Cadeira de escritório
332,esporte e lazer,2020/01/02,Corda de pular
333,eletrodomesticos,2020/01/02,Lavadora de roupas
334,brinquedos,2021/01/02,Carrinho controle remoto
335,moveis,2021/01/02,Cômoda
336,utilidades domesticas,2021/01/02,Panela de pressão
337,esporte e lazer,2021/01/02,Mochila
338,instrumentos musicais,2021/01/02,Pandeiro
339,instrumentos musicais,2021/01/02,Pandeiro
340,utilidades domesticas,2021/01/02,Faqueiro
341,brinquedos,2021/01/02,Carrinho controle remoto
342,gadgets,2021/01/02,Tablet ABXY
343,moveis,2021/01/02,Guarda roupas
344,brinquedos,2021/01/02,Cubo mágico 8x8
345,moveis,2022/01/02,Cômoda
346,eletrodomesticos,2022/01/02,Secadora de roupas
347,gadgets,2022/01/02,Assistente virtual
348,livros,2022/01/02,Modelagem preditiva
349,brinquedos,2022/01/02,Cubo mágico 8x8
350,moveis,2022/01/02,Mesa de centro
351,moveis,2023/01/02,Guarda roupas
352,brinquedos,2023/01/02,Jogo de tabuleiro
353,brinquedos,2023/01/02,Blocos de montar
354,moveis,2023/01/02,Mesa de jantar
355,livros,2023/01/02,Dashboards com Power BI
356,moveis,2023/01/02,Poltrona
357,brinquedos,2023/01/02,Xadrez de madeira
358,eletrodomesticos,2023/01/02,Geladeira
359,instrumentos musicais,2023/01/02,Bateria
360,moveis,2020/02/02,Guarda roupas
361,moveis,2020/02/02,Sofá retrátil
362,utilidades domesticas,2020/02/02,Jogo de copos
363,instrumentos musicais,2020/02/02,Bateria
364,moveis,2020/02/02,Sofá retrátil
365,eletrodomesticos,2020/02/02,Lava louças
366,esporte e lazer,2020/02/02,Corda de pular
367,esporte e lazer,2020/02/02,Bola de vôlei
368,brinquedos,2020/02/02,Dinossauro Rex
369,gadgets,2020/02/02,Celular ABXY
370,eletrodomesticos,2021/02/02,Secadora de roupas
371,eletrodomesticos,2021/02/02,Fogão
372,moveis,2021/02/02,Cômoda
373,utilidades domesticas,2021/02/02,Jogo de panelas
374,moveis,2021/02/02,Cadeira de escritório
375,esporte e lazer,2021/02/02,Corda de pular
376,brinquedos,2021/02/02,Carrinho controle remoto
377,instrumentos musicais,2021/02/02,Guitarra
378,eletrodomesticos,2022/02/02,Micro-ondas
379,moveis,2022/02/02,Cômoda
380,moveis,2022/02/02,Mesa de jantar
381,gadgets,2022/02/02,Fone de ouvido
382,moveis,2022/02/02,Cadeira de escritório
383,livros,2022/02/02,Modelagem preditiva
384,brinquedos,2022/02/02,Xadrez de madeira
385,gadgets,2022/02/02,Tablet ABXY
386,brinquedos,2022/02/02,Jogo de tabuleiro
387,eletrodomesticos,2022/02/02,Secadora de roupas
388,moveis,2022/02/02,Guarda roupas
389,brinquedos,2023/02/02,Blocos de montar
390,brinquedos,2023/02/02,Boneca bebê
391,moveis,2023/02/02,Guarda roupas
392,eletrodomesticos,2023/02/02,Lava louças
393,utilidades domesticas,2023/02/02,Jogo de panelas
394,esporte e lazer,2023/02/02,Bola de basquete
395,moveis,2023/02/02,Cadeira de escritório
396,utilidades domesticas,2023/02/02,Faqueiro
397,gadgets,2023/02/02,Headset
398,eletrodomesticos,2023/02/02,Lavadora de roupas
399,esporte e lazer,2023/02/02,Bola de basquete
400,moveis,2020/03/02,Kit banquetas
401,esporte e lazer,2020/03/02,Bicicleta
402,eletrodomesticos,2020/03/02,Fogão
403,utilidades domesticas,2020/03/02,Jogo de copos
404,utilidades domesticas,2020/03/02,Faqueiro
405,brinquedos,2020/03/02,Carrinho controle remoto
406,eletrodomesticos,2020/03/02,Micro-ondas
407,gadgets,2020/03/02,Smart TV
408,brinquedos,2020/03/02,Blocos de montar
409,instrumentos musicais,2020/03/02,Violão
410,utilidades domesticas,2021/03/02,Panela de pressão
411,brinquedos,2021/03/02,Blocos de montar
412,esporte e lazer,2021/03/02,Bicicleta
413,esporte e lazer,2021/03/02,Bicicleta
414,eletrodomesticos,2021/03/02,Geladeira
415,instrumentos musicais,2021/03/02,Bateria
416,gadgets,2021/03/02,Celular Plus X42
417,moveis,2022/03/02,Sofá retrátil
418,moveis,2022/03/02,Mesa de centro
419,gadgets,2022/03/02,Celular Plus X42
420,moveis,2022/03/02,Kit banquetas
421,gadgets,2022/03/02,Assistente virtual
422,livros,2023/03/02,Iniciando em programação
423,livros,2023/03/02,Modelagem preditiva
424,livros,2023/03/02,Ciência de dados com python
425,gadgets,2023/03/02,Smartwatch
426,gadgets,2023/03/02,Tablet ABXY
427,gadgets,2023/03/02,Smart TV
428,gadgets,2020/04/02,Assistente virtual
429,gadgets,2020/04/02,Tablet ABXY
430,moveis,2020/04/02,Cama box
431,brinquedos,2020/04/02,Carrinho controle remoto
432,moveis,2020/04/02,Cama king
433,brinquedos,2021/04/02,Cubo mágico 8x8
434,utilidades domesticas,2021/04/02,Jogo de panelas
435,moveis,2021/04/02,Cama box
436,gadgets,2021/04/02,Smartwatch
437,livros,2021/04/02,Modelagem preditiva
438,instrumentos musicais,2021/04/02,Bateria
439,moveis,2022/04/02,Cadeira de escritório
440,moveis,2022/04/02,Sofá retrátil
441,eletrodomesticos,2022/04/02,Micro-ondas
442,moveis,2022/04/02,Mesa de jantar
443,brinquedos,2022/04/02,Boneca bebê
444,brinquedos,2022/04/02,Blocos de montar
445,instrumentos musicais,2022/04/02,Guitarra
446,moveis,2022/04/02,Cama king
447,eletrodomesticos,2022/04/02,Lava louças
448,brinquedos,2022/04/02,Jogo de tabuleiro
449,gadgets,2022/04/02,Tablet ABXY
450,esporte e lazer,2022/04/02,Mochila
451,eletrodomesticos,2020/05/02,Secadora de roupas
452,moveis,2020/05/02,Sofá retrátil
453,brinquedos,2021/05/02,Xadrez de madeira
454,utilidades domesticas,2021/05/02,Panela de pressão
455,moveis,2021/05/02,Mesa de jantar
456,moveis,2021/05/02,Cadeira de escritório
457,livros,2021/05/02,Iniciando em programação
458,moveis,2021/05/02,Sofá retrátil
459,livros,2021/05/02,Dashboards com Power BI
460,moveis,2021/05/02,Sofá retrátil
461,eletrodomesticos,2021/05/02,Fogão
462,brinquedos,2022/05/02,Cubo mágico 8x8
463,livros,2022/05/02,Dashboards com Power BI
464,gadgets,2022/05/02,Tablet ABXY
465,moveis,2022/05/02,Cama king
466,moveis,2022/05/02,Cama box
467,instrumentos musicais,2022/05/02,Pandeiro
468,brinquedos,2022/05/02,Jogo de tabuleiro
469,brinquedos,2022/05/02,Dinossauro Rex
470,gadgets,2022/05/02,Assistente virtual
471,gadgets,2022/05/02,TV Led UHD 4K
472,gadgets,2020/06/02,Smart TV
473,moveis,2020/06/02,Mesa de centro
474,moveis,2020/06/02,Poltrona
475,gadgets,2020/06/02,Headset
476,gadgets,2020/06/02,Headset
477,utilidades domesticas,2021/06/02,Panela de pressão
478,brinquedos,2021/06/02,Boneca bebê
479,utilidades domesticas,2021/06/02,Jogo de panelas
480,moveis,2021/06/02,Mesa de centro
481,instrumentos musicais,2021/06/02,Pandeiro
482,gadgets,2021/06/02,Smartwatch
483,gadgets,2021/06/02,Tablet ABXY
484,eletrodomesticos,2021/06/02,Lavadora de roupas
485,brinquedos,2021/06/02,Xadrez de madeira
486,eletrodomesticos,2021/06/02,Secadora de roupas
487,moveis,2021/06/02,Cama king
488,gadgets,2022/06/02,Fone de ouvido
489,gadgets,2022/06/02,Headset
490,esporte e lazer,2022/06/02,Mochila
491,moveis,2022/06/02,Cama king
492,esporte e lazer,2022/06/02,Bola de vôlei
493,moveis,2020/07/02,Mesa de jantar
494,brinquedos,2020/07/02,Jogo de tabuleiro
495,gadgets,2020/07/02,Smart TV
496,eletrodomesticos,2021/07/02,Lavadora de roupas
497,gadgets,2021/07/02,TV Led UHD 4K
498,moveis,2021/07/02,Mesa de jantar
499,esporte e lazer,2021/07/02,Bola de basquete
500,gadgets,2021/07/02,TV Led UHD 4K
501,eletrodomesticos,2021/07/02,Lava louças
502,gadgets,2021/07/02,Fone de ouvido
503,gadgets,2021/07/02,Impressora
504,moveis,2021/07/02,Mesa de jantar
505,utilidades domesticas,2022/07/02,Faqueiro
506,eletrodomesticos,2022/07/02,Micro-ondas
507,eletrodomesticos,2022/07/02,Lava louças
508,moveis,2022/07/02,Guarda roupas
509,eletrodomesticos,2022/07/02,Lavadora de roupas
510,esporte e lazer,2020/08/02,Bola de basquete
511,eletrodomesticos,2020/08/02,Lavadora de roupas
512,eletrodomesticos,2020/08/02,Micro-ondas
513,esporte e lazer,2020/08/02,Bola de basquete
514,moveis,2020/08/02,Kit banquetas
515,eletrodomesticos,2020/08/02,Lavadora de roupas
516,livros,2020/08/02,Ciência de dados com python
517,livros,2021/08/02,Ciência de dados com python
518,moveis,2021/08/02,Guarda roupas
519,gadgets,2021/08/02,Smart TV
520,livros,2021/08/02,Dashboards com Power BI
521,eletrodomesticos,2021/08/02,Secadora de roupas
522,eletrodomesticos,2021/08/02,Micro-ondas
523,gadgets,2021/08/02,Headset
524,gadgets,2021/08/02,Smartwatch
525,moveis,2021/08/02,Cômoda
526,brinquedos,2021/08/02,Boneca bebê
527,instrumentos musicais,2022/08/02,Pandeiro
528,moveis,2022/08/02,Cadeira de escritório
529,utilidades domesticas,2022/08/02,Panela de pressão
530,instrumentos musicais,2022/08/02,Violão
531,eletrodomesticos,2022/08/02,Geladeira
532,brinquedos,2022/08/02,Jogo de tabuleiro
533,moveis,2022/08/02,Cadeira de escritório
534,esporte e lazer,2022/08/02,Mochila
535,moveis,2020/09/02,Mesa de centro
536,eletrodomesticos,2020/09/02,Micro-ondas
537,gadgets,2020/09/02,Assistente virtual
538,moveis,2020/09/02,Mesa de centro
539,moveis,2020/09/02,Kit banquetas
540,gadgets,2021/09/02,Fone de ouvido
541,moveis,2021/09/02,Poltrona
542,brinquedos,2021/09/02,Jogo de tabuleiro
543,utilidades domesticas,2021/09/02,Faqueiro
544,brinquedos,2021/09/02,Xadrez de madeira
545,moveis,2021/09/02,Mesa de centro
546,brinquedos,2021/09/02,Dinossauro Rex
547,livros,2022/09/02,Iniciando em programação
548,moveis,2022/09/02,Guarda roupas
549,gadgets,2022/09/02,Assistente virtual
550,gadgets,2022/09/02,Assistente virtual
551,eletrodomesticos,2022/09/02,Micro-ondas
552,brinquedos,2022/09/02,Boneca bebê
553,moveis,2022/09/02,Cômoda
554,instrumentos musicais,2022/09/02,Bateria
555,livros,2020/10/02,Modelagem preditiva
556,utilidades domesticas,2020/10/02,Panela de pressão
557,utilidades domesticas,2020/10/02,Faqueiro
558,moveis,2020/10/02,Mesa de centro
559,esporte e lazer,2021/10/02,Bicicleta
560,brinquedos,2021/10/02,Blocos de montar
561,utilidades domesticas,2021/10/02,Jogo de copos
562,brinquedos,2021/10/02,Cubo mágico 8x8
563,brinquedos,2021/10/02,Jogo de tabuleiro
564,moveis,2021/10/02,Mesa de centro
565,esporte e lazer,2021/10/02,Copo térmico
566,gadgets,2021/10/02,Smartwatch
567,moveis,2022/10/02,Mesa de centro
568,esporte e lazer,2022/10/02,Copo térmico
569,brinquedos,2022/10/02,Xadrez de madeira
570,utilidades domesticas,2022/10/02,Jogo de copos
571,brinquedos,2022/10/02,Dinossauro Rex
572,gadgets,2022/10/02,TV Led UHD 4K
573,moveis,2022/10/02,Poltrona
574,instrumentos musicais,2020/11/02,Bateria
575,eletrodomesticos,2021/11/02,Lavadora de roupas
576,esporte e lazer,2021/11/02,Bola de vôlei
577,gadgets,2021/11/02,Headset
578,gadgets,2021/11/02,TV Led UHD 4K
579,esporte e lazer,2021/11/02,Bola de vôlei
580,brinquedos,2021/11/02,Dinossauro Rex
581,moveis,2021/11/02,Poltrona
582,brinquedos,2021/11/02,Carrinho controle remoto
583,brinquedos,2022/11/02,Jogo de tabuleiro
584,gadgets,2022/11/02,Smart TV
585,brinquedos,2022/11/02,Jogo de tabuleiro
586,gadgets,2022/11/02,Celular Plus X42
587,esporte e lazer,2022/11/02,Corda de pular
588,esporte e lazer,2022/11/02,Bicicleta
589,brinquedos,2022/11/02,Cubo mágico 8x8
590,brinquedos,2022/11/02,Blocos de montar
591,livros,2022/11/02,Modelagem preditiva
592,moveis,2020/12/02,Mesa de jantar
593,instrumentos musicais,2020/12/02,Violão
594,moveis,2020/12/02,Mesa de jantar
595,instrumentos musicais,2021/12/02,Guitarra
596,instrumentos musicais,2021/12/02,Violão
597,utilidades domesticas,2021/12/02,Panela de pressão
598,gadgets,2021/12/02,Assistente virtual
599,eletrodomesticos,2021/12/02,Secadora de roupas
